Sample,   PC1,   PC2,     A,SiO2 wt%
s E5-2 [5566],  1.28, -8.18,  0.18, 51.22
s T7 [6808], 10.22, -0.46,  0.02, 50.95
s 89 [9244],  2.10, -8.04,  0.90, 51.49
s GT 04 [12648],  0.92, -8.49,  0.34, 51.44
s 19 [5549],  2.25, -8.39,  1.63, 50.72
s 52-IL-98-31 [18456],  2.39, -8.26,  0.17, 50.70
s JP00-31 [18456],  4.18, -6.34,  0.07, 50.59
s RKY-24 [9441],  5.09, -5.15,  0.16, 51.26
s SIG-232 [16345],  5.87, -4.91,  0.29, 51.55
s 4700-0020 [8678],  1.15, -6.09,  1.53, 52.22
s 4700-4341A [8678],  1.01, -4.69,  1.07, 52.11
s 176788 [14137],  0.41, -4.40,  0.17, 54.69
s SIG-235 [16345],  6.52, -6.08,  0.27, 50.68
s 82GRS-1582 [5564],  2.45, -9.02,  0.11, 50.67
s PL-8A [8681],  3.46, -7.18,  0.58, 50.79
s 176794 [14137],  0.16, -3.87,  0.12, 55.21
s SIG-231 [16345],  5.93, -5.26,  0.32, 51.38
s SIG-192 [16345],  6.58, -5.49,  0.50, 51.02
s SIG-227 [16345],  3.28, -5.84,  0.75, 52.25
s 84GRS-0032 [5564],  1.99, -7.65,  0.22, 50.91
s SL87-05 [7218],  1.97, -5.89,  0.32, 50.64
s 16 [8920],  2.48, -8.31,  0.08, 50.81
s S48 [12642],  2.25, -5.36,  0.38, 51.71
s SIG-234 [16345],  7.19, -3.91,  0.34, 51.21
s JW-7 [5844],  3.68, -2.00,  0.97, 52.42
s BA-5 [13002], 12.04, -2.02,  0.10, 50.90
s GC210697 [7097], -0.76, -9.17,  0.59, 51.11
s WA91/31 [5820], -2.37, -5.27,  3.08, 52.50
s SIG-237 [16345],  6.14, -5.83,  0.32, 50.89
s 174494 [7306],  0.22, -4.92,  0.34, 53.23
s 190901 [17170],  2.50, -7.00,  0.34, 51.57
s A1 [16244], 15.56,  5.38,  0.03, 50.91
s SIG-238 [16345],  5.71, -4.93,  0.27, 51.65
s 25-BG-05 [16555],  3.50, -6.83,  0.24, 51.51
s BA-17 [13002],  2.97, -6.83,  0.21, 50.72
s 8707/9 [7221] / s 07/9 [9427],  9.17, -2.61,  0.11, 51.56
s 8715/2 [7221] / s 15/2 [9427],  4.43, -7.38,  0.11, 50.17
s CR107 [8519],  3.52, -7.22,  0.17, 50.69
s CR104 [8519],  3.73, -7.15,  0.23, 50.71
s HJO-87-90 [5993],  4.30, -5.11,  0.08, 51.39
s 101TOH 95-1 [13590],  2.60, -5.05,  4.69, 52.04
s 154TOH 94-1 [13590],  4.73, -2.21,  0.59, 51.92
s 23SMS 62-3/150.00 [13590],  2.86, -5.36,  2.03, 51.38
s 80TOH 96-1 [13590],  1.61, -7.42,  5.25, 52.02
s SIG-43 [17629],  6.67,  1.13,  0.21, 52.97
s SIG-4 [17629], 14.88,  7.82,  0.10, 52.41
s JG03/29 [16978], 11.43, -3.44,  0.09, 49.87
s BD-28-2 [13001],  2.63, -7.67,  0.36, 51.09
s SC95-86 [13001],  1.44, -9.02,  0.26, 51.15
s SIN 04 [11947], -0.72, -8.17,  0.13, 52.87
s 84GRS-1225 [5564],  1.64, -9.74,  0.09, 50.79
s P23 [8682],  4.55, -5.68,  0.55, 50.84
s RIH-18 [9441],  5.15, -4.37,  0.07, 50.87
s 515806 [16158], -0.12,-10.80,  0.98, 51.95
s SIG-239 [16345],  6.44, -4.93,  0.34, 51.21
s 1-BG-08 [16555],  2.29, -7.33,  0.18, 51.17
s 1-4 [13706],  2.65, -6.52,  0.15, 51.96
s 485404 [11427],  2.76, -8.12,  0.24, 51.05
s HS517 [8684],  1.69,-10.79,  0.13, 51.14
s 160-BG-05 [16555], -0.76, -6.05,  0.43, 54.98
s V10-3 [5667],  2.16, -8.59,  0.23, 51.38
s GC060697 [7097],  1.42, -7.87,  0.46, 51.17
s KD6012-307.2 [17349],  7.16, -1.27,  0.49, 51.54
s HS530 [8684],  0.81, -6.62,  0.12, 53.32
s SIG-236 [16345],  5.85, -6.10,  0.53, 50.89
s 80-BG-08 [16555],  1.90, -9.14,  0.11, 51.84
s HO19 [13427],  2.50, -7.90,  0.18, 51.10
s 485446 [11627],  1.00,-12.50,  0.38, 50.68
s 96235 [12698],  1.48, -8.19,  0.08, 51.71
s GO104 [8519],  2.97, -6.69,  0.34, 50.78
s CR108 [8519],  4.68, -6.58,  0.27, 50.87
s HJO-87-79.1 [5993],  6.91, -0.22,  0.46, 52.80
s 148TTT 97-1 [13590],  6.30, -6.37,  4.11, 51.79
s 14SMS 70-4/85.95 [13590],  2.81, -4.26,  0.08, 52.08
s SIG-47 [17629],  9.02,  4.36,  0.22, 52.76
s SIG-97 [17629],  6.86,  3.96,  0.29, 53.93
s 498206 [13799],  2.50, -8.15,  0.29, 50.85
s 498244 [13799],  1.08, -9.70,  0.31, 50.78
s 497147 [13997],  2.55, -6.72,  0.78, 50.76
s HE95-27 [5575],  1.29, -9.98,  0.32, 51.12
s WL-7-2 [5582],  1.43, -8.20,  0.63, 50.90
s GT 20 [12648],  1.93, -7.04,  0.11, 52.22
s S14 [13777],  0.25, -9.04,  0.12, 52.08
s S108 [13777], -0.47, -9.40,  0.14, 51.97
s S108 [13777], -0.47, -9.40,  0.14, 51.97
s U913/38 [5549],  8.18, -4.06,  0.64, 51.72
s RL95-18A [5204],  2.24, -8.48,  0.40, 51.13
s LU96-8 [5667],  1.32, -8.24,  0.19, 50.90
s 82GRS-0186 [5564],  2.70, -8.41,  0.10, 50.89
s CB90-6A [7260],  0.22, -9.52,  0.39, 50.99
s MSA 10-1 [14411], 16.96,  7.49,  0.02, 51.00
s JP02-266 [18456], 10.35, -0.73,  0.12, 50.86
s L4 [5202], 16.00,  6.18,  0.07, 50.82
s SIG-240 [16345],  4.59, -5.57,  0.31, 51.82
s NDC87-09D [5204], 13.97,  3.67,  0.08, 50.94
s 180216 [14137],  0.28, -2.60, -0.02, 55.00
s 465431 [7552], 13.41,  2.09,  0.14, 50.95
s KX5 [5667],  0.65,-10.15,  0.11, 51.22
s SL95-1 [7218],  2.39, -8.31,  0.27, 51.09
s 8707/6 [7221] / s 07/6 [9427], 10.01, -3.05,  0.12, 50.40
s 8551 [7221], 14.55,  3.36,  0.04, 50.35
s 8715/1 [7221] / s 15/1 [9427],  4.01, -7.67,  0.08, 50.35
s 106/2 [7221],  2.96, -8.62,  0.10, 50.45
s 9443 [5231],  2.65, -7.37,  0.14, 51.02
s 154JSK 93-1 [13590],  2.00, -5.75,  3.55, 52.51
s 171TOH 93-1 [13590],  2.91, -4.41,  4.12, 52.28
s 180TTT 96-1 [13590],  4.71, -3.88,  1.18, 51.47
s 1SII 93-2/50.00 [13590], -0.72, -7.53,  3.54, 51.92
s 211TTT 97-1 [13590], 14.58,  3.93,  6.39, 51.96
s 79TOH 95-1 [13590],  2.13, -5.88,  0.62, 52.48
s HJO-87-79.1 [17129],  7.29, -0.11,  0.51, 52.52
s 11-PTP-03 [17129],  0.52, -7.52,  0.11, 52.65
s 96TB0044 [5196], -3.19, -8.71,  0.20, 52.36
s SC95-129 [5575],  1.24, -9.89,  0.20, 51.05
s HB96-6 [5575],  3.10, -7.56,  0.09, 51.01
s 93-21 [5686],  1.90, -7.98,  0.17, 52.87
s L3 [5212], 12.23,  1.50,  0.04, 50.97
s SJV91-2H [7218], -1.89,-10.02,  0.94, 51.04
s 271 [9244],  2.13, -8.39,  0.48, 51.50
s 289 [9244],  2.17, -7.78,  0.34, 51.39
s 180204 [14137],  3.01, -5.78, -0.03, 51.89
s JW-9 [5844],  2.82, -1.68,  1.01, 53.03
s H-71 [13224],  4.32, -4.45,  0.11, 52.19
s 7-BG-08 [16555],  3.14, -7.35,  0.20, 51.22
s MU95-6 [5201],  2.92, -6.35,  0.09, 50.84
s A1 [9105], -5.02, -2.52,  6.56, 57.79
s BA-32 [13002],  2.67, -8.22,  0.08, 51.20
s 2-5 [13706], -1.00, -0.01,  0.23, 59.75
s BX153 [8498],  1.42, -7.64,  0.10, 52.38
s G23 [7307], 10.40,  0.53,  0.17, 50.97
s H26 [16588],  5.26,  0.63,  0.43, 53.24
s H05 [16588],  9.89, -0.81,  1.75, 52.26
s 510754-1 [17073],  0.03, -8.23,  0.13, 52.14
s MU95-16 [5201],  2.40, -8.51,  0.24, 51.20
s PL95-30 [7260],  0.67, -7.99,  0.37, 51.22
s GB-81 [8012],  2.22, -9.26,  0.64, 50.37
s LSU-1-790.5 [17349], 17.72, 15.11,  0.02, 54.52
s GO14 [8519],  4.10, -9.32,  0.92, 50.98
s 134JSK 93-1 [13590],  1.01, -5.97,  3.08, 51.96
s 140JSK 93-1 [13590],  1.88, -6.29,  1.20, 52.20
s 198TTT 97-1 [13590],  1.22, -7.77,  2.40, 51.55
s 11TOH 96-1 [13590],  4.68, -3.08,  2.97, 52.56
s SC95-117 [5575],  3.30, -6.36,  0.14, 51.08
s WA95-26 [5575],  3.00, -7.27,  0.09, 51.05
s A3 [9105], -6.57, -4.95,  5.23, 55.29
s Z2 [5996], 11.56,  0.37,  0.04, 50.43
s MU95-27 [5204],  2.80, -5.27,  0.09, 51.05
s 485462 [11627],  5.26, -5.39,  0.18, 51.11
s 190957 [17170],  0.99, -5.70,  0.10, 52.20
s DU-2B [13000],  4.41, -6.31,  0.08, 51.09
s 485473 [11627], 15.13,  5.13,  0.20, 50.90
s V44-3 [7155],  3.87, -4.14,  0.49, 50.98
s SJV91-4Q [7218],  7.24,  0.65,  0.28, 51.18
s K170 [10270],  6.19, -5.13,  0.20, 50.50
s 22-BG-05 [16555],  1.32, -5.03,  0.33, 53.67
s 228 A-BG-04 [16555],  5.77, -5.15,  0.50, 51.08
s H-31 [13224],  4.19, -4.61,  0.55, 51.82
s SL88-06 [7218],  2.06, -6.01,  0.37, 51.39
s 485481 [11627], 11.45,  2.24,  0.43, 51.07
s CR109 [8519],  1.91, -6.92,  1.37, 51.36
s 93150 [6954],  2.36, -8.62,  0.06, 51.20
s PAN-86-20 [5993],  1.90, -7.25,  0.14, 51.96
s HJO-86-21 [5993],  1.01, -9.00,  0.11, 52.17
s 12TOH 94-1 [13590],  1.88, -4.33,  5.25, 53.13
s 13SII 94-1/105.70 [13590], -1.19, -7.40,  9.40, 51.87
s 269JEV 95-3 [13590], -1.58, -3.98,  3.28, 51.12
s 78JTL 95-1 [13590],  3.32, -1.29,  2.33, 53.22
s 68-PTP-03 [17129],  2.45, -6.75,  0.09, 52.18
s B96-13 [5952], 17.39,  5.67,  0.05, 50.71
s 2002-94 [8521],  1.65, -7.56,  0.80, 51.49
s HE6-4 [5672],  1.87, -3.46,  1.02, 53.57
s V54B [7155],  0.55, -7.98,  0.14, 52.23
s PL-13A [8681],  1.74, -8.39,  0.80, 51.23
s A2 [9105], -8.02, -5.02,  9.35, 55.04
s SC2008-22 [16512],  1.25, -7.08,  0.26, 54.58
s 38 [9244],  1.74, -9.38,  0.24, 51.72
s GT 09 [12648],  1.17, -6.05,  0.25, 52.17
s 201863 [18347],  0.19, -6.52,  0.20, 53.70
s MO8 [13000],  2.05, -7.83,  0.19, 51.44
s SAF 477-10 [14411], 18.48,  8.75,  0.03, 51.04
s 510754-1 [17073], -0.12, -7.74,  0.08, 52.38
s H-67 [13224],  4.70, -3.76,  0.14, 52.04
s 95-BG-04 [16555],  1.52, -7.80,  0.09, 52.33
s H10 [16588],  4.88,  1.17,  0.70, 53.62
s 485441 [11627],  0.41,-12.09,  0.16, 50.98
s SL38 [5566],  0.70, -9.68,  0.18, 51.33
s 43-BG-07 [16555], -2.35, -4.18,  0.26, 57.07
s BA-14 [13002],  3.32, -5.21,  0.19, 51.29
s 176745 [14137],  0.65, -5.98,  0.38, 53.52
s 190537 [17170], -1.53,-11.26,  0.19, 52.45
s P41 [8682],  2.89, -6.23,  0.50, 51.67
s 184-BG-04 [16555],  7.31, -4.26,  0.24, 51.73
s A803.4 [11429],  0.46, -8.73,  0.23, 51.49
s 16TOH 95-1 [13590],  2.86, -6.20,  3.51, 51.74
s 83TOH 95-2 [13590],  1.11, -6.23,  5.26, 54.12
s BSF 3 [11105], -0.83,  1.08,  1.41, 57.65
s SA700-1 [16702], 19.54, 10.86,  0.03, 51.53
s 289109 [6045],  8.95, -2.70,  0.05, 51.41
s 498274 [13799],  2.71, -7.16,  0.10, 51.26
s 498261 [13799],  1.38, -7.98,  0.18, 51.34
s G93-138 [16978],  2.17, -9.55,  0.19, 50.66
s JG03/31 [16978],  8.81, -3.20,  0.21, 51.17
s WV-87 [5209],  3.45, -3.57,  0.33, 51.17
s MN1 [5575],  1.85, -8.70,  0.18, 51.54
s CS98-115 [7163], -1.03, -6.84,  0.67, 52.59
s WR95-1 [5582],  1.86, -8.76,  0.67, 51.55
s S104 [13777],  0.87, -8.60,  0.17, 52.41
s GC010697 [7097],  5.45, -3.39,  0.16, 51.77
s KM061-B [17715],  0.94, -6.41,  1.00, 52.29
s 174482 [7306],  1.42, -5.34,  0.22, 53.51
s G26 [7307],  8.66, -0.70,  0.24, 51.20
s 1-50 [6398],  2.24,  1.16,  2.89, 57.52
s 176758 [14137],  2.42, -5.25,  0.15, 52.31
s GB-82A [8012],  2.63, -8.36,  1.24, 50.75
s P31 [8682],  3.79, -6.58,  0.44, 51.52
s SIG 132 [16345], -7.61, -5.97,  5.85, 51.59
s C6 [5579],  2.43, -6.97,  0.11, 51.46
s 14-BG-05 [16555],  6.88, -4.06,  0.10, 51.88
s H02 [16588],  2.91, -3.57,  1.88, 52.95
s 465617A2 [12870],  5.93, -5.48,  0.24, 51.52
s 26A [6788],  2.08, -8.01,  0.24, 52.02
s 24-BG-07 [16555], -2.36, -3.54,  0.25, 57.08
s 02-8 [6768], -0.69, -6.45,  4.26, 50.98
s GC250697 [7097], -4.58, -6.26,  1.28, 56.90
s KA1 [5714],  1.35, -8.68,  0.18, 50.69
s 52-IL-98-32 [18456],  1.75, -6.90,  0.19, 51.50
s G41 [7307],  6.13, -3.41,  0.28, 51.48
s CR105 [8519],  4.69, -6.01,  0.24, 51.39
s 93151 [6954],  1.79, -9.29,  0.08, 51.38
s 93154 [6954],  3.32, -7.02,  0.09, 51.36
s 182TOH 93-1 [13590], -0.18, -6.19,  4.11, 53.24
s 94TOH 96-1 [13590],  2.45, -6.40,  4.74, 52.43
s 96-26-6 [8685], -2.28, -2.96,  0.09, 56.18
s BSF 12 [11105], -0.42, -0.90,  1.36, 56.87
s 497123 [13997],  0.41,-10.32,  0.20, 51.27
s 2002-64A [8521],  1.89, -6.44,  0.31, 51.34
s 2002-63 [8521],  1.71, -7.35,  0.60, 51.45
s HEG-18 [5575],  4.41, -5.49,  0.13, 51.35
s WL-42-1 [5575],  1.49, -9.19,  0.25, 51.82
s 95-KYT-28 [5524],  0.73, -7.48,  0.13, 51.97
s SC95-87 [5582],  1.13, -8.01,  0.60, 51.67
s HE95-28 [5575],  1.53, -7.82,  0.32, 51.54
s SC2007-29 [16512], -2.35, -7.79,  0.18, 54.11
s SIN 15 [11947],  0.41, -7.32,  0.16, 52.47
s GT 15 [12648],  0.41, -7.32,  0.24, 52.47
s S41 [13777],  0.50, -9.50,  0.12, 52.23
s S112 [13777],  1.06, -8.08,  0.12, 52.13
s 96202 [12698],  1.39, -7.44,  0.06, 52.07
s D17 [16588],  3.16, -3.03,  0.25, 52.75
s XHG03 [16160],  2.15, -6.54,  0.09, 51.72
s GPT88-7B [7260],  0.46, -9.99,  0.53, 51.63
s 485409 [11427],  1.45, -8.15,  0.23, 51.64
s 485439 [11427],  6.75, -8.20,  0.06, 51.21
s JW-10 [5844], -0.88, -3.80,  2.20, 53.14
s 165383 [8808],  6.74,  0.96,  0.16, 54.51
s H-32 [13224],  4.02, -5.08,  0.53, 51.86
s JW-3 [5844], -1.17, -6.01,  1.92, 52.64
s 96227 [12698],  0.70, -7.60,  0.04, 52.19
s 465617B2 [12870],  5.36, -5.78,  0.21, 51.55
s PL3 [7260],  0.13, -8.58,  0.32, 51.45
s PIC-58 [18733],  2.39, -6.61,  0.15, 52.36
s 180213 [14137],  0.72, -1.79,  0.19, 54.55
s 485414 [11427],  2.42, -7.65,  0.08, 51.37
s RKY-17 [9441],  5.87, -4.06,  0.12, 52.04
s H-70 [13224],  4.95, -3.97,  0.11, 52.19
s JW-21 [5844],  1.49, -3.86,  0.81, 53.14
s 179888 [14137],  0.61, -4.30,  0.06, 54.13
s P44 [8682],  2.52, -6.91,  0.43, 51.55
s DH96-6 [5198],  1.34, -8.26,  0.18, 51.43
s 94143 [6954],  1.08, -8.38,  0.08, 51.40
s 245JSN 95-1 [13590],  2.29, -4.76,  0.60, 52.20
s 116TOH 95-1 [13590],  4.82, -2.68,  0.61, 52.92
s 13TOH 95-1 [13590],  0.70, -7.14,  0.67, 51.91
s 2ARO 93-1/214.80 [13590],  0.86, -4.53,  2.36, 54.61
s 53JSK 93-2 [13590],  2.52, -3.25,  1.76, 52.99
s 69IJY 94-1 [13590],  1.94, -5.92,  1.20, 52.28
s 77TOH 96-1 [13590],  1.22, -5.92,  4.09, 52.62
s S63 [12642],  5.08, -2.66,  0.23, 52.40
s D24 [16588],  4.14, -1.56,  0.45, 53.16
s D35 [16588],  5.98,  0.37,  0.31, 53.21
s G93-146 [16978],  4.09, -7.37,  0.13, 51.34
s HEG-16 [5672],  1.91, -5.42,  1.14, 51.46
s MW95-17 [5575],  1.37, -8.46,  0.22, 51.61
s 95-07349 [7164],  1.84, -6.34,  0.88, 51.87
s WR95-13 [5575],  1.73, -9.26,  0.25, 51.68
s SC2008-15 [16512], -2.74, -7.47,  0.14, 54.56
s 107 [9244],  1.09, -8.20,  0.67, 51.96
s GC360697 [7097],  1.34, -9.02,  0.18, 52.25
s U920/1 [5549], -2.84, -3.53,  2.95, 55.72
s 52-IL-98-36 [18456],  4.37, -5.28,  0.46, 51.40
s P33 [8682],  3.30, -5.70,  0.45, 51.99
s 90-BG-04 [16555],  2.36, -6.38,  0.17, 51.93
s 468788 [16158], -2.44, -9.67,  0.47, 52.43
s MU95-8 [5201],  9.41, -2.08,  0.14, 51.66
s 165367 [8808],  5.94,  1.85,  0.47, 53.82
s 2000-13 [7552],  8.72, -2.01,  0.15, 51.57
s MU95-17 [5204],  1.63, -6.27,  0.14, 51.50
s 217-BG-04 [16555],  3.23, -4.79,  0.40, 52.15
s SL87-04 [7218],  0.46, -9.80,  0.50, 52.08
s PL95-35 [8681],  2.19, -8.69,  0.54, 51.74
s 165368 [8808],  1.27, -0.02,  0.48, 56.15
s 485402 [11427],  3.57, -3.69,  0.12, 51.40
s JW-22 [5844], -4.83, -4.51,  0.79, 54.42
s 2002-71 [8521],  2.18, -7.61,  0.28, 51.69
s 102-98-692 [18456],  0.97, -8.22,  0.56, 51.81
s DU-2 [13000],  4.59, -4.39,  0.21, 51.64
s GC050697 [7097],  3.10, -6.00,  0.17, 51.97
s 179821 [14137],  5.32, -5.96, -0.04, 51.55
s SA 224-15 [14411],  9.20,  0.55,  0.05, 52.90
s MO5 [13000],  1.34, -7.27,  0.23, 51.69
s 176772 [14137],  1.49, -5.16, -0.03, 53.95
s H-63 [13224],  4.84, -3.48,  0.18, 52.38
s LU95-8 [5212],  1.23, -8.66,  0.07, 51.68
s 8 [8920],  2.04, -7.00,  0.16, 51.48
s 59161 [6954],  2.58, -7.07,  0.07, 51.54
s KJP-87-38 [5993],  3.31, -4.48,  0.16, 51.97
s 128JTL 96-2 [13590], 16.55, 13.13,  6.39, 54.42
s 52TOH 94-1 [13590],  2.06, -5.34,  2.36, 53.08
s 61TOH 94-1 [13590],  2.14, -3.67,  5.82, 53.89
s 87JTL 95-1 [13590],  2.82, -4.86,  2.36, 52.80
s H-69 [13224],  4.25, -4.34,  0.21, 52.14
s SIG-114 [17629],  7.66,  4.22,  0.20, 54.12
s D12 [16588],  1.47, -7.91,  0.21, 51.92
s JG03/46 [13196],  6.83, -3.01,  0.23, 52.16
s 497120 [13997],  0.68,-10.03,  0.20, 51.50
s G93-144 [16978],  4.48, -6.65,  0.28, 51.08
s 2002-11 [8521],  2.43, -5.53,  0.84, 51.71
s WA95-22 [5575],  0.18, -9.68,  0.12, 51.62
s MW95-9 [5575],  2.54, -7.36,  0.12, 51.53
s MU95-21 [5201],  2.82, -5.89,  0.12, 51.69
s B4 [6808], 17.43,  8.35,  0.01, 51.05
s 95-07331 [7164], -2.86, -5.93,  2.15, 53.65
s SC95-13 [5575],  4.15, -3.98,  0.26, 51.69
s BD-46-1 [13001],  2.05, -7.29,  0.38, 51.72
s BD-48-1 [13001],  2.79, -6.10,  0.44, 51.46
s 171 [9244],  1.74, -8.79,  0.88, 51.64
s SIN 11 [11947],  0.54, -8.06,  0.61, 52.19
s S-1C [7083],  5.60, -3.45,  0.21, 51.79
s 82GRS-0088 [5564],  2.24, -7.92,  0.14, 51.62
s CB90-12C [7260], -0.67, -9.21,  0.60, 51.82
s HE9 [5582], -0.17, -8.89,  0.34, 51.63
s H23 [16588],  3.66, -3.55,  0.19, 53.18
s AB94-168B [5204], 18.05,  9.94,  0.19, 51.64
s NDC87-06A [5204],  7.42, -2.92,  0.19, 51.63
s 174455 [7306],  1.02, -6.81,  0.17, 53.04
s 165390 [8808],  3.48, -3.22,  0.13, 53.09
s G44 [7307],  7.50, -1.80,  0.33, 51.49
s 496120 [11427],  2.00, -7.68,  0.11, 51.48
s LU96-4 [5202],  4.95, -3.34,  0.09, 51.66
s D19A [16588],  1.04, -8.36,  0.22, 51.99
s 174484 [7306], -3.13, -5.62,  0.77, 53.48
s 485489 [14913],  2.25, -7.04,  0.25, 51.83
s 2002-74 [8521], -0.51, -7.79,  1.05, 52.10
s K40 [10270],  6.10, -4.42,  0.19, 51.08
s 52-IL-98-30 [18456],  0.86, -8.97,  0.49, 51.89
s H-60 [13224],  4.27, -4.13,  0.25, 52.53
s G45 [7307],  6.63, -3.13,  0.19, 51.57
s 94140 [6954],  1.69, -8.01,  0.61, 51.80
s 55TOH 96-1 [13590],  1.39, -6.19,  0.61, 52.34
s 98H175A [8702],  2.45, -6.09,  0.32, 52.10
s SIG-113 [17629],  6.65,  4.15,  0.25, 54.39
s 498264 [13799],  2.43, -3.71,  0.14, 51.36
s 93-12628 [7164],  3.04, -6.14,  0.06, 52.02
s 93-12638 [7164],  1.72, -6.02,  0.07, 53.13
s S98 [13777],  0.60, -7.57,  0.13, 52.70
s 179883 [14137],  4.35, -3.14, -0.06, 52.97
s 508218 [17722], -1.10, -9.19,  0.45, 52.00
s L12 [5212],  2.89, -7.50,  0.08, 51.74
s 174440 [7068],  1.15, -3.68,  0.33, 53.20
s 174440 [7306],  1.15, -3.68,  0.33, 53.20
s 92 [6788],  7.11, -3.27,  0.09, 52.30
s 174441 [7068],  1.66, -3.24,  0.19, 53.34
s 174441 [7306],  1.66, -3.24,  0.19, 53.34
s 98-YK-18 [8924], -2.76, -5.18,  0.11, 53.65
s PL95-28 [7260], -0.89, -9.40,  0.49, 51.93
s 190954 [17170], -0.05, -5.64,  0.75, 53.60
s 465425 [7552],  9.87, -0.23,  0.41, 51.77
s 4700-0187 [8678], -2.07, -5.75,  1.43, 53.11
s S53 [12642],  1.33, -5.73,  0.16, 52.75
s 2000-19 [7552],  9.42, -0.54,  0.13, 51.76
s 511117 [17722], 12.08,  3.42,  0.86, 52.84
s 98-YK-10 [8924],  0.02, -6.01,  0.37, 53.14
s 465435 [7552],  0.44, -8.50,  0.08, 51.93
s P21 [8682],  3.37, -5.66,  0.43, 52.02
s 462939 [5951],  3.74, -7.33,  0.23, 52.09
s P42 [8682],  2.89, -6.97,  0.25, 52.13
s 94141 [6954],  4.03, -5.12,  0.12, 51.73
s 94142 [6954],  3.89, -5.40,  0.12, 51.81
s 205JSN 95-1 [13590],  1.42, -6.29,  3.52, 52.52
s 142JSK 93-1 [13590],  2.18, -2.56,  4.08, 53.77
s 42TOH 94-1 [13590],  1.14, -3.54,  3.50, 53.56
s 120IJY 94-1 [13590],  0.17, -7.36,  2.93, 52.51
s 14SMS 70-3/98.85 [13590],  3.68, -2.28,  1.76, 53.04
s 22TOH 96-5 [13590],  1.41, -5.54,  4.67, 53.40
s H22 [16588],  5.85,  0.62,  0.33, 53.09
s 2000-5 [7552],  9.24, -0.61,  0.12, 51.81
s WA95-11 [5575], -0.98, -8.85,  0.30, 51.95
s 96-11314 [7164],  1.25, -7.59,  0.67, 52.56
s AM09 [18756], -0.64, -7.16,  1.46, 52.84
s KAF89-35B [8681],  2.91, -5.29,  0.61, 51.82
s RKY-22 [9441],  6.10, -2.83,  0.13, 52.18
s C126 [5579],  5.54, -2.18,  0.06, 51.82
s RQ1 [5667],  0.55, -8.37,  0.09, 51.93
s BX108 [8498],  4.51, -1.50,  0.28, 53.34
s 20SMS 60-1/28.50 [13590], 10.22,  1.43,  0.16, 52.82
s 77394 [6321], -0.01, -6.50,  0.59, 53.70
s 98-CL-2 [8924], -1.04, -8.22,  0.17, 52.94
s KX1 [5667], -0.45, -9.63,  0.16, 51.83
s STN1 [5667],  1.33, -7.46,  0.14, 52.11
s SJV91-1D [7218], -0.55, -9.28,  0.35, 52.60
s 179814 [14137],  2.98, -7.26,  0.13, 51.98
s D9 [16588],  3.84, -2.63,  0.34, 52.64
s 2000-16 [7552], 14.37,  4.70,  0.07, 51.75
s G22 [7307],  6.36, -2.77,  0.19, 51.68
s 5038 [5395],  0.01, -8.27,  0.57, 52.57
s 80-BG-04 [16555],  1.06, -5.92,  0.06, 53.26
s 1-64 [6398], -3.76, -1.04,  0.79, 58.58
s H18 [16588],  5.31,  1.80,  0.59, 53.92
s 2002-72 [8521],  1.82, -7.31,  0.30, 51.99
s PAN-86-23 [5993],  0.91, -6.72,  0.23, 52.81
s 104JTL 95-1 [13590],  1.57, -7.96,  5.34, 53.10
s 15JSK 93-1 [13590], -0.50, -7.77,  3.53, 52.46
s 174TOH 93-1 [13590],  2.86, -6.24,  0.13, 51.57
s 100IJY 94-1 [13590],  0.82, -5.85,  2.93, 52.83
s 62TOH 96-1 [13590], -0.49, -7.29,  3.51, 52.94
s 25-PTP-03 [17129],  3.30, -2.73,  0.30, 52.26
s 2000-4 [7552],  9.25, -0.51,  0.12, 51.90
s JG03/52 [13196],  6.08, -2.95,  0.25, 52.57
s 499710A [13810],  0.08, -8.99,  0.20, 51.66
s WA95-25 [5575],  2.09, -6.43,  0.11, 52.14
s B5 [6808], 10.53,  0.89,  0.02, 51.44
s 96-12019 [7164], -0.17, -8.12,  0.72, 52.22
s BD-28-1 [13001],  1.59, -7.74,  0.49, 52.11
s GT 13 [12648], -0.75, -7.94,  0.22, 53.33
s H15 [16588],  3.34, -0.37,  0.44, 53.99
s 01-1 [6768], -1.38, -6.00,  4.39, 51.50
s L45 [5204],  1.69, -7.60,  0.16, 52.19
s KAF87-15A [8681],  2.55, -7.63,  0.45, 52.04
s 27982 [7161],  5.59, -2.11,  0.31, 51.33
s 128-BG-04 [16555],  1.16, -4.87,  0.04, 53.26
s 485464 [11627],  2.27, -6.24,  0.19, 51.80
s KJ2 [11429],  1.67, -7.71,  0.16, 52.17
s 165386 [8808], -0.23, -4.07,  0.60, 54.75
s 179892 [14137], -0.17, -5.93, -0.03, 54.57
s SAF 378-7 [14411], 15.08,  5.78,  0.05, 51.63
s 01-10 [6768],  1.18, -6.38,  3.77, 51.88
s 2000-11 [7552],  8.91, -0.51,  0.20, 52.02
s 96048534C [14137], -2.51, -2.11,  1.22, 55.10
s 52-IL-98-44 [18456],  2.96, -6.30,  0.47, 52.01
s 4-V [9080],  2.28, -4.94,  0.10, 53.26
s 38JTL 98-2 [13590],  1.24, -6.52,  3.95, 52.34
s 14SMS 70-1/16.45 [13590],  4.23, -3.68,  1.78, 52.72
